"chain_number","name"
"60_McDonalds","McDonald's® - Bangsar  8"
"60_McDonalds","McDonald's® - Mont Kiara  139"
"60_McDonalds","McDonald's® - Bukit Bintang  1"
"60_Esquire_Kitchen","Esquire Kitchen - Atria Shopping Gallery [Non-Halal]"
"60_Esquire_Kitchen","Esquire Kitchen - OUG Plaza [Non-Halal]"
"60_Esquire_Kitchen","Esquire Kitchen - Pandan Kapital [Non-Halal]"
"60_Esquire_Kitchen","Esquire Kitchen - Subang Parade [Non-Halal]"
"60_Esquire_Kitchen","Esquire Kitchen - Endah Parade [Non-Halal]"
"60_Chizu","Chizu - Sunway Pyramid"
"60_Chizu","Chizu - 1Utama"
"60_Chizu","Chizu - Citta Mall"
"60_Chizu","Chizu & Honzu - Nu Sentral"
"60_Honzu","Honzu - 1Utama"
"60_Fika_Fika_Cafe","Fika Fika Cafe - Bukit Jalil [Non-Halal]"
"60_Hayaki","Hayaki - The Curve"
"60_Hayaki","Hayaki - Setapak"
"60_Esquire_Kitchen","Esquire Kitchen - 1Utama [Non-Halal]"
"60_Esquire_Kitchen","Esquire Kitchen - Sunway Pyramid [Non-Halal]"
"60_Esquire_Kitchen","Esquire Kitchen - 3 Damansara [Non-Halal]"
"60_Esquire_Kitchen","Esquire Kitchen - Sunway Velocity [Non-Halal]"
"60_Esquire_Kitchen","Esquire Kitchen - Leisure Mall [Non-Halal]"
"60_RuYI_Imperial","RuYI Imperial [Non-Halal]"
"60_Spicy_Chicken_Syahezzie","Spicy Chicken Syahezzie"
"60_LaLa_Chong_Seafood_Restaurant","LaLa Chong Seafood Restaurant - Bandar Sunway"
"60_Restoran_Al_Fariz_Maju","Restoran Al Fariz Maju - Setapak"
"60_Black_Market","Black Market - St Mary Place [Non-Halal]"
"60_Black_Market","Black Market - Kg Pandan [Non-Halal]"
"60_E_G_G_Eight_Gourmet_Gala","E.G.G. Eight Gourmet Gala"
"60_Yamaguchi_Fish_Market","Yamaguchi Fish Market"
"60_Chateau_De_Caffeinees","Chateau De Caffeinees"
"60_Crab_and_Mantou","Crab and Mantou"
"60_Texas_Chicken","Texas Chicken - KLCC"
